"id|number","work|varchar","reference|number","year|number","methodology|varchar","typemethodology|varchar","category","solved|string","quantitysolved|number","not solved|string","quantitynotsolved|number"
1,"Efficient roll-up and drill-down analysis in relational database. Workshop on Research Issues on Data Mining and Knowledge Discover",6,1997,"Node labeling on hierarchy tree","tree|label","experimental","Choosing table categories throw labeling method",1,"In absence of label, reading must be made on detail",1
2,"Intelligent Learning Analytics Dashboards…",7,2021,"Perspective on performance and process","performance|process","experimental","Show errors that can be produced along manual decision tree trace",1,"Errors may be produce at data overfitting",1
3,"Interactive Data Exploration with Smart Drill-Down",8,2019,"Describe each column as a rule by format f(a b*n)","mathematics","descriptive","Optimization problems",1,,0
4,"Avoiding drill-down fallacies with VisPilot",9,2019,"To understand data sub clustering behavior on adding filters progressively","query","comparative","Tendency deviation is attribute to a local change: drill-down fallacy",1,,0
5,"Automated insightful drill-down recommendations for learning analytics dashboards",10,2020,"To explore data sub clustering behavior on learning analytics dashboard","query","descriptive","To propose a perspective which recommends a profound DD on LAD users",1,,0
6,"On the Importance of Drill-Down Analysis for Assessing Gold Standards and Named Entity Linking Performance",11,2018,"Orbis, an extendible environment for DD analysis; multiple notation tasks and versioning","label","post-facto","Entity recognition, disambiguation and entity typification",3,"To integrate significance testing statistics, build plug-ins for monitoring and develop support for extra evaluations",1
7,"A Hybrid Data Warehouse Model to Improve Mining Algorithms",12,2017,"Hierarchization for data clustering and an hybrid data warehouse model for extraction and analysis","tree|query","comparative","Obstacles solved on data mining process algorithms and data cube",2,,0
8,"Precomputing architecture for flexible and efficient big data analytics",13,2018,"Architecture for solving big data queries on NoSQL depots wich pre-compute results on granular sector for collections which are degrouping","query|granularity","descriptive","On extensive experimental evaluations, it was proved model effectivity to apply drill-down and drill-up queries",2,"Proposed architecture was just tested in specific study cases; it was considered temporal data importance due to its low granularity ",1
9,"Data Mining Techniques for the Integrated Postsecondary Data System",14,2018,"To create a concise schema design, grouping data process must adjust to understand relationship between data sources","granularity","descriptive","Structure design will implement a robust, documented and updatable architecture",1,"Schema must be update to prevent future problems",1
10,"Rule mining in maintenance: Analysing large knowledge bases.",15,2020,"Generate big set of rules, as first step, and then drill-down the basic rule using alternatively semantic análisis","query","post-facto","The systematic evaluation of a great basic rule, enabled not only to verify known generic knowledge but also to find some other unexpected",2,"Base knowledge, sometimes omit in the works, its an obligated step to improve the adoption of these techniques ",1
11,"Developing an Online Dashboard to Visualize Performance Data—Tennessee Newborn Screening Experience",16,2022,"Use of a panel which leads introspection to facilities level, making possible to identify probable problems","query","post-facto","Eight performance indicators where visualized in several views, which will enable DD analysis on specific data",2,"For better efficiency not all data were included ",1
12,"A drill down analysis of the pandemic COVID-19 cases in India using PDE",25,2021,"Regression function and forecasting","correlation","experimental","Trend detection",1,,0
13,"Critical business intelligence practices to create meta-knowledge",30,2021,"Dynamic online queries into data layers","correlation","experimental","Establishing correlations, making trends or identifying any outliers",3,"Deployment is not mature enough to allow comprehensive performance evaluations",1
14,"OLAP for moving object data",31,2013,"Group by group aggregation for performance evaluation","granularity","experimental","Alternatives for moving computer object groups",1,,0
15,"A visual framework to understand similarity queries and explore data in Metric Access Methods",32,2010,"Metric access methods","performance|process","comparative","Understanding data organization",1,,0
16,"NetFlowMatrix: a visual approach for analysing large NetFlow data",33,2017,"Grouping network flow information into cell matrix to display aggregate flows.","correlation","descriptive","Identify patterns and instances from larger network flows. Distinguish quantity flows.",2,,0
17,"The case study for building a data warehouse in semiconductor manufacturing",34,2005,"Application technology on AI","performance|process","descriptive","Highlights production issues and easily analysis information",2,,0
18,"A tool for the visualisation of public opinion",35,2013,"Opinion-mining techniques and visualisation tools","correlation","experimental","Quantify voter’s opinion",1,,0
19,"Embedded indicators to facilitate the exploration of a data cube",36,2009,"Exploration of the data cube by identifying the most relevant dimensions to expand","correlation","descriptive","Support to the decision-making directly integrated to a commercial OLAP",1,,0
20,"Spatial data cubes based on shared dimensions and neighbourhood relationship concepts",37,2021,"Implements two spatial indexing techniques and two spatial non-relational representations","performance|process","descriptive","Implements a new data cube hierarchy algorithm using relationships among cells",1,,0
21,"Design and Development Executive Information System Application with Drilldown and What-If Analysis features",38,2019,"Design and develope the design process","performance|process","descriptive","How to develope executive information",1,,0
22,"PhEDEx Data Service",39,2010,"Plug-in architecture to allow server-side modules to be develope and return dat","performance|process","descriptive","Building monitoring web-pages with complex drill-down operations",1,"Expansion by plug-ins",1
23,"The ATLAS PanDA Monitoring System and its Evolution",40,2011,"Comprehensive and coherent view of the system and job execution","performance|process","descriptive","Reduce the amount of application code, separate data preparation from presentation, leverage open source for tools",3,,0
